"FC"	"ens"	"symbol"	"A.1.alpha"	"A.1.beta"	"A.1.gamma"	"A.2.alpha"	"A.2.beta"	"A.2.gamma"	"A.3.alpha"	"A.3.beta"	"A.3.gamma"	"B.1.alpha"	"B.1.beta"	"B.1.gamma"	"B.2.alpha"	"B.2.beta"	"B.2.gamma"	"B.3.alpha"	"B.3.beta"	"B.3.gamma"	"total_mean"	"log2FC"
"1624978_at"	0	"FBgn0053309"	"CG33309"	3.16159949153335	3.17532848014717	3.22168815023747	3.09451411354925	3.45686872406726	3.24690113511594	3.08950039771877	3.17399054239703	3.15981756824222	3.38478085864368	3.27497164436105	3.07694037164005	2.96937227710275	3.24623184818707	3.09975104724519	2.97795832628997	3.13728410902646	3.34250713353325	3.18277812327988	0.0300456652198879
"1634110_at"	0	"FBgn0266756"	"btsz"	4.35908007510692	4.37974449604067	4.13723539208355	4.22821436848206	4.45055259515915	4.34345625963965	4.2742546544161	4.33694605631594	4.29745243087474	4.19999310231658	4.46354711574668	4.16729915878985	4.45326918309346	4.24080517515151	4.25467434488286	4.5132357207553	4.31596327043117	4.38139367377903	4.32206205961473	-0.0203604907586286
"1639596_at"	0	"FBgn0032021"	"CG7781"	2.65463638570022	2.58574083036458	2.51249274443002	2.59127871678762	2.62983603249275	2.66455930698103	2.50747388687972	2.54125473703936	2.51426502440802	2.59293034211037	2.56013707760006	2.64624500289461	2.59140299633178	2.59683611780686	2.60571717194599	2.57760318216185	2.50769566007996	2.62858277767412	2.58381599964938	-0.0117347403913644
"1634726_s_at"	0	"FBgn0028517"	"CG18478"	3.42855154104291	3.36094786613956	3.31802539569972	3.5231739125201	3.96728569906716	3.4726633417409	3.7056667056951	3.50984868238684	3.41312377404644	3.64834111382683	3.59948191433016	3.48764866816634	3.53431535899008	3.54474651686579	3.46677576283836	3.63613442667672	3.69023415040289	3.80531078970626	3.5617930900079	-0.0793001981627448
"1634775_at"	0	"FBgn0030307"	"CG33235"	2.72139296243456	2.77299372599855	2.85526268126483	2.7054884911828	2.73829229329879	2.83187313053521	2.69773825666815	2.77766903725152	2.85162341601585	2.941909166564	2.83534301920442	2.77128297020724	2.8134719311657	2.93560425904796	2.75797488401799	2.77568411537145	3.12642869169444	2.73653232178264	2.81369807520589	-0.0824330404895086
"1635778_at"	0	"FBgn0033766"	"Nup188"	3.55730942280891	3.49118564783877	3.54571629458975	3.51728277444416	3.546746637886	3.67502595165303	3.572114216524	3.52489021626415	3.64889193398001	3.73963543078117	3.56819353891712	3.40873704117928	3.86829382556769	3.71516703337947	3.74801100587484	3.49130645414763	3.63638528432408	3.67137708539704	3.60701498864206	-0.0853270670643935
"1634061_a_at"	0	"FBgn0265959"	"rdgC"	2.54500178069356	2.52761954578439	2.56075218825839	2.58820844273004	2.65029302012202	2.82964691122839	2.57969665950041	2.59828125817599	2.60708879605232	2.53897375896401	2.53549446747605	2.48683265988364	2.83186911026401	2.53158707771395	2.54665812477981	2.38911633237041	2.38758938921855	2.4741861156971	2.5671608688285	0.0849201740197758
"1638125_a_at"	0	"FBgn0011666"	"msi"	2.9493569972358	2.9022988504399	2.91665702431228	2.89757947758668	2.98537340529486	2.99503339700928	3.08945798245293	3.2053474151983	2.93162112346536	3.05647184692106	2.75716980091715	2.71971472593552	3.18111637178798	3.00755393773988	2.9861679607296	3.26331762270382	2.88390697529931	3.2145563903934	2.99681673919017	-0.0219166621591476
"1641502_a_at"	0	"FBgn0037063"	"CG9391"	3.80835453888078	3.82599749373545	4.00814580441896	4.14799050691825	3.9190931679021	4.15554813392359	4.3728514274495	3.95588522219158	3.92033268872136	4.06104248875036	4.08911704302122	4.07059293612413	4.24247478961067	4.21127894510124	4.00044241642567	4.23715346659948	4.07101783763544	4.14337618323926	4.06892750503606	-0.112477458040655
"1626443_at"	0	"FBgn0026879"	"CG13364"	3.85427520395103	3.74584163321508	3.79046324710342	3.63725349591995	3.72217965421382	3.80576126652944	3.68499015380237	3.75410053050562	4.17997193079263	3.66117039464624	3.90838736981485	3.82114894864733	3.91066875568212	3.7747645835831	3.59254144492364	3.98831093113491	3.86277669374919	3.70622473990046	3.80004616545084	-0.00568408289427547
"1632981_s_at"	0	"FBgn0001313"	"kl-2"	2.77068245134434	2.91607696062163	2.985281054678	2.81315177187219	3.09590339074889	3.04517356520107	2.94298466116358	2.80897718144525	2.63329840626669	2.93160840441799	2.95651718302718	2.71900624820877	2.96447435558386	2.97964452865716	3.01059155901897	2.83646171558017	2.98962957806692	2.71354757984635	2.89516725531939	-0.00999463434063674
"1623825_s_at"	0	"FBgn0039972"	"Marf1"	2.90733554496285	3.15636125510288	2.94028915472565	2.97182193794261	3.11114579524357	2.68161354506552	2.98635065665713	2.85785631110042	2.81399432820309	3.24990051872517	3.16059696858563	3.08934417209171	2.82682880829426	2.98073012188296	3.01497546141585	2.84429421743946	2.88295156058098	2.87998387372264	2.96424301287458	-0.0558707970816599
"1639106_at"	0	"FBgn0029830"	"Grip"	3.99497311734927	4.21554640734906	4.10656505523593	4.26988339144424	4.22754364812401	4.12335354825565	4.00087870436138	4.22730639227575	4.02470176929093	3.98766618052337	4.36093586921331	4.24485111460143	4.25375430960678	4.22468073182931	4.41500866125209	4.35862183243433	4.16133467601553	4.33983153319016	4.19652427457514	-0.128436986108898
"1630689_at"	0	"FBgn0053061"	"CG33061"	4.0976995058135	3.81708805303437	3.93442974112406	4.11141597473444	3.95476071830565	3.90693518345642	3.78150895802758	4.06444150037259	3.90804777180135	3.97778204297221	4.03637483333245	3.84833099805366	4.09956567264879	4.34116402959747	4.41576723463249	4.30892404066499	3.97798844577461	3.99641334609529	4.03214655835788	-0.158442581900223
"1639724_at"	0	"FBgn0039448"	"TwdlQ"	4.40677708038186	4.41615413542542	4.29865093597719	4.52253627888601	4.37507591762058	4.39831644034914	4.56046258211388	4.52963002076806	4.36793857066964	4.24854050948727	4.36354140064196	4.37757969653919	4.45034970166088	4.42028168849293	4.4605699929202	4.45994525881561	4.52328680208735	4.38331412116961	4.42016395188927	0.0209036433751972
"1626673_s_at"	0	"FBgn0051716"	"Cnot4"	3.64194132838616	3.8820341253673	3.80507381707793	3.7628230567762	3.93763624055454	3.56867011725932	3.69427644007105	3.80758383953067	3.78297944808524	3.59619611720141	3.81877832204349	3.68074757627445	3.6695237320683	3.67673449600829	4.00571140861272	3.54949267974894	3.74513312009797	3.63361120536155	3.73660817058475	0.0563433061879208
"1629132_at"	0	"FBgn0259246"	"brp"	3.16516947857439	3.01907886769206	2.95563916908585	2.98675762892051	3.01621877948113	2.95006558694825	3.00355669099679	2.99417613027099	3.040036244171	3.27452367055742	2.99925468916629	3.11060521107637	3.00758717464202	2.99094256696093	3.03177251690639	3.32436938112491	3.18247516855944	3.1792692600404	3.06841656750973	-0.107789006988133
"1630972_at"	0	"FBgn0031407"	"CG4270"	3.36108224243505	3.18834544062961	3.2813497441111	3.40068989676302	3.21610890693525	3.41314117055083	3.43447393208439	3.29708448832963	3.36260689686781	3.66273636677557	3.34774589336249	3.43029488977592	3.56020697727739	3.51002387115162	3.68840963303162	3.52507698900472	3.50773403511522	3.50084466219598	3.42710866868873	-0.197576733220427
"1636888_a_at"	0	"FBgn0016123"	"Alp4"	4.39677834115848	4.34222135875299	4.33272307890365	4.31130325820908	4.50640578039683	4.29449032721855	4.57839090048413	4.63586478649778	4.34745482001745	4.2602233089603	4.65776063958364	4.46199585600234	4.43752590725701	4.34616309944271	4.57078532938446	4.78781550771744	4.35737273852169	4.52178208258252	4.45261428450506	-0.072865757534796
"1636664_at"	0	"FBgn0037405"	"CG1077"	3.43519713380733	3.36332220364772	3.34161221430484	3.27710072814542	3.36163296792878	3.37428389127258	3.28696614570267	3.29642382338843	3.2091209585833	3.44844791461485	3.41041173633483	3.31115145029904	3.08824172197536	3.39683934025573	3.3073284109901	3.19541411463497	3.17936566988524	3.30129076002043	3.31023062143287	0.0341298830856132
"1625490_at"	0	"FBgn0034849"	"CG3500"	4.38654469113259	4.60765871986821	4.62687568100116	4.63167436051858	4.609941030204	4.48661719966064	4.57608915068516	4.15148797108175	4.25265675837995	4.29751088757778	4.47040695748852	4.48850323396804	4.47196310775258	4.49230321106882	4.24293868279905	4.43985086820665	4.37033614030833	4.35527204249238	4.44214614967746	0.0778289367633205
"1640649_at"	0	"FBgn0035316"	"CG15878"	3.00920525532575	2.98232391126913	3.0312354556272	2.85476851983653	3.02473236727944	3.021384541718	2.96006476638083	2.66281020041952	2.81824800462569	3.03092957453094	2.71199222369207	3.15089156881385	3.05526925849766	3.05199531620204	2.88006898212537	2.84428907954958	2.78774743292513	2.63744466132952	2.91752228445268	0.0237938805351035
"1640109_at"	0	"FBgn0026755"	"Ugt37B1"	4.76697008312141	4.60172687657891	4.52347887347255	4.68537727096357	4.81384688431075	4.70777156001308	4.66990724278957	4.84693832887548	4.81138580176788	4.79941367390849	4.75069709562665	4.7976716604299	4.73507544093305	4.8792308867515	4.97416802260687	4.92719029169113	4.70168683545982	4.79358285932333	4.76589553825689	-0.10347931609306
"1636056_at"	0	"FBgn0010409"	"RpL18A"	4.88362237596624	4.47372211127211	4.81306814348201	4.81072553401476	4.93587245602615	4.97439595278068	4.75897555760684	4.84934706979665	4.81151710898287	5.05526993489422	4.94804459895916	4.9452525218028	5.19119720841502	5.29865212353036	5.11583856420032	4.79275876128077	5.00069123037831	4.83174449554326	4.91614976382959	-0.207578125452879
"1637155_at"	0	"FBgn0052407"	"CG32407"	3.99132868232537	3.63136341536349	3.45011441443749	3.62905604536882	3.69621222394156	3.38954038961777	3.42501939064102	3.58808291122668	3.67052364058972	3.55810954515235	3.2686893747798	3.60133413276128	3.49995045350576	3.48428633659281	3.70683077621754	3.62339675570967	3.51533671643032	3.2268618888076	3.55311317185939	0.109605014839421
"1624591_at"	0	"FBgn0031784"	"CG9222"	3.83610048013341	3.86064245185605	3.81537129877032	4.04794763113522	3.97552611438918	3.78100191279522	3.97303498260918	4.16896314807471	3.90204921947068	3.88638999614242	3.98489557400945	3.85071442125899	3.7269759131104	3.8955236491031	3.83057519094668	3.95092191469766	3.86840194021702	4.044003659247	3.91105774988704	0.0358038867223609
"1636663_at"	0	"FBgn0038602"	"CG7126"	3.34433685384866	3.23956234855018	3.64389912353448	3.58098978403206	3.31096113408273	3.51888511325321	3.54746327903988	3.31669989824592	3.44723278199117	3.768682203002	3.66949345043656	3.49296048263623	3.09592583113274	3.67906472827952	3.60064459913232	3.58137145491663	3.49178123655257	3.54489468197549	3.49304716581346	-0.108309816831752
"1641518_a_at"	0	"FBgn0016977"	"spen"	2.6829351994298	2.87963801767248	2.60523712834435	2.56312869602028	2.40443190896897	2.6713763051839	2.67785103282127	2.64391124184686	2.74078575067385	2.73378776595696	2.53648216327911	2.81807682317458	2.84645561368999	2.69844028160343	2.9384835335558	2.71405201986985	3.02024267334109	2.57790944430725	2.70851253331888	-0.112737226424033
"1623544_at"	0	"FBgn0259236"	"comm3"	4.24576127147363	4.19591492317417	4.27697517204155	4.27805812800958	4.06374514481856	4.21520171498774	4.23281472408565	4.08222097818278	4.33429427279292	4.4404150044462	4.30247089764049	4.42827201881392	4.18785550644961	4.12270052952714	4.24592526857425	3.88762514918516	4.08508996170691	4.3361067072765	4.22008040962149	-0.0123860793392891
"1624343_at"	0	"FBgn0050443"	"Opbp"	4.05204380686209	3.93958805201805	3.91930948365934	3.74276388988669	3.99486747167932	4.0044296572099	3.68456731531278	4.18571375269603	3.79731162969675	4.06818649178808	3.8737647462127	4.0762044472346	3.6543837125293	3.95556937585459	3.94782834512108	4.01738778366246	3.65172269011029	4.06159315272289	3.92373532245872	0.00155047930944008
"1635659_at"	0	"FBgn0000377"	"crn"	4.11365392131579	4.55660613787628	4.16140630003932	4.09366208508377	4.12033556748127	3.99957507782966	4.34219353597563	4.0886559679544	4.25299025548622	4.25614674319914	3.89739269583706	4.18174237334932	4.3566628381304	4.02098258165878	4.22249452666337	4.10365368610947	4.02634540125411	4.22238977440562	4.16760497053609	0.0490298031594527
"1632921_at"	0	"FBgn0085280"	"CG34251"	4.07514851919109	4.15644981104383	4.17433739859578	4.08667012486254	4.13012914480373	4.0074814765901	4.1956077700752	3.9649503686124	4.04077775775338	3.86987377974494	3.73817767876071	3.91207183910244	3.95641112254596	3.82676822867499	3.55679544308545	4.00788667398605	3.89087921433831	3.89867668650724	3.97161627990412	0.241556856086884
"1633191_at"	0	"FBgn0036519"	"CG7650"	2.65327925890349	2.59068883854992	2.73818160633958	2.79986654612692	2.60627067871231	2.6850038958464	2.4400160237764	2.51903157715527	2.51579085540787	2.55128068310688	2.54226290380637	2.71963170109082	2.61259385150144	2.50072105378117	2.44708800140178	2.66331293278635	2.51628733951345	2.67417612333352	2.59863799284111	0.0356416322773754
"1627571_at"	0	"FBgn0004396"	"CrebA"	2.57811898946151	2.44521043065359	2.55433282075981	2.49514412234529	2.24377642483167	2.42577695783183	2.35912469068874	2.39608238143262	2.42998999091986	2.42921526533193	2.60976672872833	2.36357942658818	2.53483092719705	2.23238609084091	2.2971484101572	2.55069562334136	2.58742338735602	2.68433126648969	2.45649632971976	-0.0402022574561944
"1635973_at"	0	"FBgn0033248"	"Dic3"	5.00071626216729	4.88824173247466	4.65742299980615	4.87906738275437	5.08790741997835	5.08776706921119	4.86767355180293	4.98556599530407	4.95597887549321	4.98847308257595	4.85845834746337	5.15145395459878	4.88518123954164	5.09372486788008	4.99946935725373	5.02751125220236	4.99342488915643	4.68238675581442	4.94946805752661	-0.0299713841660596
"1630975_at"	0	"FBgn0030189"	"CG2909"	3.73828168815395	3.66411437568527	3.71701485303744	3.72733254271076	3.58710886918868	3.88684999736243	3.42713840946887	3.75563698988398	3.7872131129897	4.02469033544669	3.76218832254529	3.74432124762156	3.63017944194366	3.77795757653969	3.88373638482955	3.77237050069036	3.63119970690214	3.59289686092467	3.72834617866248	-0.0587610598847252
"1626250_at"	0	"FBgn0038685"	"CG14282"	5.2399984827069	5.20614130379589	4.7250355537744	5.22139214942862	5.12090943909452	5.04117507980587	5.03201593110031	5.1354634625579	5.02204054086926	5.16654439948627	5.07486151255033	5.08575777397469	5.11126230194617	5.25141221164319	5.5437458638046	4.86166467832989	5.1984651841143	5.17761720423902	5.1230835040679	-0.0807954652171983
"1623892_at"	0	"FBgn0000227"	"Bsg25A"	4.58778738918227	4.52761530919948	4.30954831035378	4.32077545365972	4.59150015374742	4.44051094078048	4.29451261227432	4.36801305690834	4.4067238972596	4.4159002319297	4.76197432882847	4.26051715962458	4.59640283543523	4.40884870596739	4.40903251024705	4.25614863967917	4.36757257696406	4.1554971416637	4.4154934029836	0.0238992214473397
